Rate,Review,Sentiment
5,awesome product,very positive
3,i suppose it is too early to form an opinion,neutral
2,doesnt serve its purpose,negative
5,best in its class,very positive
1,mi no service for air purifier,very negative
4,complete review,positive
5,the best purifier for small spaces,very positive
5,mi air purifier 2,very positive
4,xiaomi air filter,positive
5,difference in air quality is palpable,very positive
5,exactly does what it says,very positive
4,"good vaue for money, just a few areas of improvement",positive
5,good product at good price,very positive
5,writing after a year,very positive
5,great product and commendable service by flipkart,very positive
5,good product for that price,very positive
4,useful product,positive
5,fabulous air purifier,very positive
5,absolutely best,very positive
5,a really essential product at a very affordable price,very positive
3,simple yet complex,neutral
3,good product but occupies space,neutral
5,great product at an awesome price,very positive
5,nice air purifier,very positive
4,good till now,positive
5,worth the price super product,very positive
3,the good and the bad,neutral
5,amazing value for money,very positive
5,best in segment,very positive
1,not working faulty aqi rating in app,very negative
5,best for ppl with dust allergy,very positive
4,worried about replacement filters,positive
4,thanks mi to bring the price down to some realistic levels,positive
5,must buy worth a try,very positive
5,great purifier,very positive
1,biggest mistake of my life,very negative
5,great product great service from flipkart,very positive
5,i can certainly feel the difference in air quality,very positive
1,no warranty just fooling customer,very negative
1,bad customer care ever,very negative
1,fake purifier,very negative
5,great product and good app interface,very positive
1,i am not happy,very negative
1,app is crap,very negative
5,awesome purchase,very positive
5,nice product happy with it,very positive
5,excellent service support,very positive
5,very nice,very positive
4,air purifier,positive
1,got defective piece,very negative
5,worth its price,very positive
5,excellent product,very positive
4,vfm,positive
5,clears even cigarette smoke handily amazing,very positive
5,best air purifier for large sized rooms,very positive
5,wonderful product,very positive
5,awsome,very positive
5,cost worthy,very positive
4,decent product,positive
5,works pretty fast,very positive
5,mi2airpurifier,very positive
1,came unsealed,very negative
1,bad service from flipkart,very negative
2,i am giving 2 stars because the seal was broken,negative
1,unable to find replacement filter online,very negative
5,excellent product,very positive
4,above average performance,positive
2,other than auto rotating its good for nothing,negative
1,average quality and size of item dont match per description,very negative
5,not specified,very positive
5,excellent racket,very positive
4,im happy,positive
5,classy,very positive
3,good brand at a reasonable price,neutral
4,good for this price,positive
5,terrific  smash,very positive
4,suitable for lightweight stuff,positive
5,great product for offered price,very positive
5,haresh,very positive
1,not reliable and bad quality product,very negative
5,recommended,very positive
5,just go for it,very positive
3,looks superb but not good for blocking light,neutral
5,just wow great product,very positive
4,good quality for rs200,positive
2,highly priced for the kind of stuff offered,negative
2,ok for unbreakable stuff,negative
3,average,neutral
5,awesome,very positive
5,good quality floor mat,very positive
5,good clock,very positive
5,super products,very positive
5,"i love flipkart,this soldring iron is best",very positive
5,excellent quality at a low price,very positive
5,superb product,very positive
4,very sleep and sharp,positive
1,"poor quality fit and finish, water leaks",very negative
3,bahut achcha hai,neutral
2,5 months only,negative
1,micro tech invetor,very negative
5,microtek,very positive
5,inverter,very positive
5,happy to purchase,very positive
1,30 hrs to charge 150 ah battery,very negative
4,vguard,positive
5,good choice always,very positive
5,excellent better than su kam,very positive
5,8 hrs backup for what capacity battery,very positive
3,inverter making noise very irritating,neutral
4,feedback,positive
5,microtek ups sw eb1100 pure sine wave inverter pure sine wav,very positive
5,,very positive
5,ff,very positive
1,stop working with in one month of usage,very negative
4,price value,positive
5,great inverter,very positive
3,one of the best inverter,neutral
4,"a good, reliable, sine wave invertor",positive
3,in 5 days the item stopped working,neutral
1,"not working,misguiding rating",very negative
1,wrost product,very negative
1,very bad quality in just 1 month the inverter is dead,very negative
5,smart inverter,very positive
1,worst steamer,very negative
5,awesome purchase at this price,very positive
4,good product but not best,positive
4,budget one,positive
5,best choice dryiron for hostel andor pg students,very positive
5,excellent iron box for cheap price,very positive
4,bajaj dx 2 lw 600,positive
4,awesome,positive
5,decent,very positive
4,product is good for under 500 rupees,positive
5,superb product for singles,very positive
5,good choice for singles,very positive
1,dont buy,very negative
4,worthy,positive
5,review after 1 and half years,very positive
5,value for the money,very positive
Bajaj DX 2 LW Dry Iron,bajaj dx 2 lw dry iron,unknown
Nova Plus Amaze NI 10 1100 W Dry IronÃÂ¿ÃÂ¿Grey  Turquoise,nova plus amaze ni 10 1100 w dry ironãâ¿ãâ¿grey  turquoise,unknown
5,great productwith this price range,very positive
5,best juicer,very positive
3,fast delivery,neutral
2,avg product,negative
5,compact,very positive
5,great product ,very positive
5,gorgeous juicer that works wonders,very positive
5,so little juice and so much of waste,very positive
3,best but not worth in this range,neutral
5,its simple and superb,very positive
5,juicer,very positive
5,awesome juicer from philips,very positive
5,excellent juicer,very positive
5,100 satisfied from the product,very positive
5,9838797786,very positive
5,excellent product by philips,very positive
5,"best quality, easy to use 100 satisfaction",very positive
5,issa vibe,very positive
5,far better juicer in comparison to other,very positive
4,over all good ,positive
5,nyc one product from philips,very positive
5,philips hr 1832,very positive
5,thank u filipkart,very positive
5,good juicer,very positive
5,perfect juicer for vegetables and fruits,very positive
5,awesome juicer value for money,very positive
4,worth for money,positive
5,awesome design and easy to use and clean,very positive
4,its okay,positive
5,fantastic juicer,very positive
5,great in style juices like a boss,very positive
5,great juicer easy to handle,very positive
4,convinient product,positive
1,part missing,very negative
1,incomplete item received,very negative
1,dont buy this it will stop working on 11th day,very negative
5,mind blowing,very positive
4,delightful and nice to have this product,positive
1,very bad it got burnt from the inside after 2 times,very negative
5,good juicer with satisfactory build quality,very positive
5,neat design and good outcome,very positive
5,nice juicer for health concise people,very positive
3,purchased the product on 24th got delivered on 30th septembe,neutral
5,wonderful excellent,very positive
5,amazing product,very positive
5,brilliant must have product in kitchen,very positive
5,awesomenice,very positive
5,nice juicer,very positive
5,"compact, value for money",very positive
4,happy with the product and flipcart service,positive
5,go for it ,very positive
5,this is the real thermos,very positive
5,awesome thermostat water bottle with longer capability,very positive
2,regular usage not good,negative
5,genunie product worth the money,very positive
3,bad delivery person,neutral
5,easy to clean and good to use,very positive
5,nice flask,very positive
2,not worth the price,negative
4,wonderful milton no1 brond superb,positive
5,classy product for gifting,very positive
3,just okay okay,neutral
5,wonderful i highly recommend,very positive
4,strong but height is too short for tv base,positive
1,not recommended at all  worst product cheap quality,very negative
5,best product and service,very positive
5,great deal and awesome service by flipkart,very positive
5,good look,very positive
4,"good looks, good installation service, but weak material",positive
5,its awesome ,very positive
5,amazing,very positive
5,worthy enough for all the promises made,very positive
3,kinda disapointed,neutral
3,not as described on the site but no issues with the quality,neutral
4,great microwave,positive
5,ifb is far superior than other brands,very positive
4,priced good,positive
4,gud product hatsoff to flipkart,positive
5,excellent product,very positive
5,best of microwave oven at this price range,very positive
5,"good oven, got it at discounted price",very positive
4,nice convention microwave oven 8000,positive
5,great product as expected,very positive
5,good product with reasonable price,very positive
5,worth deal,very positive
4,good product and good delivery service,positive
5,2 thumbs up ,very positive
5,mindblowing purchase good product and quality,very positive
5,wait for the better price if you are not in a hurry,very positive
5,very good microwave oven,very positive
5,awesome buy  value for money,very positive
5,best product in best price,very positive
5,great product worth the price tag,very positive
5,one of the best buy from flipkart,very positive
4,good product under budget,positive
5,greate microwave form ifb  go for it ,very positive
4,worth each penny,positive
4,its good to have one like this ,positive
4,best option on this price,positive
5,good price excellent product,very positive
5,best microwave oven,very positive
4,nice product from ifb,positive
5,flipkart the best,very positive
5,every penny worth for this product awesome product  awesome,very positive
4,nice product at awesome price,positive
5,excellent product from ifb  timely shipping from flipkart,very positive
5,its a great buy,very positive
3,"overall average product, but built quality could have been better",neutral
5,ifb doesnt need any quality clarification,very positive
4,poor installation  demo,positive
1,hard time following up with flipkart for the installation and demo of the ifb microwave,very negative
5,after using for 3 weeks,very positive
4,product is goodseller is cheatingflipkart service too slow,positive
4,good product,positive
5,awesome same as explained,very positive
5,excellent product extremely quick delivery,very positive
5,no technical person provided,very positive
4,does its job,positive
4,lg 20 l solo microwave oven is really good,positive
5,very nice solo microwave,very positive
5,great for the price,very positive
4,overall,positive
4,micro owen,positive
5,nice and superb,very positive
5,good and worthful,very positive
5,flipkart  truly great,very positive
1,availability,very negative
5,perfect near the dinner table of a small family,very positive
5,good product at great price,very positive
5,awesome for the price,very positive
5,bajaj solo microwave is a great product,very positive
4,good product value for money,positive
5,awesome microwave with best price,very positive
5,"best,m happy with it",very positive
5,a good gift ,very positive
5,great seller,very positive
4,nice buy for a family of 4,positive
5,good product for great price,very positive
5,amazing product at cheap price,very positive
4,a good product but switch gets stuck most of the time ,positive
5,decent microwave,very positive
4,daily usage,positive
5,just go for it its worth of money,very positive
5,awwwwwwwwsome ãâ°ãå¸ãâãå,very positive
5,smart microwave,very positive
4,best one at this price range,positive
5,reliable and easy to use very good job bajaj,very positive
5,nice product at a superb price,very positive
5,"simple , value for money",very positive
4,using this for the last 4 months,positive
5,good delivery and product,very positive
4,good basic microwave oven,positive
3,door is bad,neutral
3,good item but only for warming the food,neutral
4,kitchen mate,positive
3,good product at this price point ,neutral
5,value for money,very positive
5,good product for the price,very positive
3,bajaj 1701mt 17 l solo microwave oven,neutral
5,a third hand for my mom,very positive
5,great microwave,very positive
4,very good product with this price,positive
5,wonderful little microwave,very positive
3,basic appliance for reheating body heats up in 10mins,neutral
5,nice,very positive
4,a perfect deepawali gift for my mom,positive
5,perfect solo mw for solely reheating,very positive
5,little wonder,very positive
5,excellent solo microwave  perfect size  perfect price,very positive
4,decent quality,positive
4,great product but no demo organized,positive
4,its wonderful but,positive
5,perfect for a small home,very positive
4,beautiful design ,positive
4,satisfied,positive
4,samsung 23 l solo microwave oven,positive
4,works as expected,positive
5,good furniture,very positive
4,thanks,positive
4,pretty good but non steady due to length mismatch of legs,positive
5,"big, sturdy, worth the price",very positive
4,good product but check for tape at any part of table,positive
1,"not very sturdy, low height",very negative
3,so so product,neutral
5,fabulous,very positive
4,study table,positive
5,"easy to assemble, super comfortable",very positive
5,perfect product can recommend to others,very positive
5,work table for office,very positive
5,very nice and sturdy product,very positive
5,"worth every penny, just got for it",very positive
4,sturdy table,positive
2,"not diy, buy at your own discretion",negative
5,quality and value for money,very positive
5,good camera by hero,very positive
5,excellent product from qubo,very positive
5,super performance,very positive
5,great camera and awesome pan feature,very positive
5,good 360 rotation product,very positive
5,amazing camera,very positive
5,ptz camera,very positive
5,good camera from qubo,very positive
5,satisfied with the camera,very positive
5,good experience,very positive
5,good product by hero,very positive
5,good set of features,very positive
5,mindblowing purchase at this price point,very positive
5,eseti am happy,very positive
5,ultimate security,very positive
4,good security for pc,positive
3,"good set, safely packed, but really small bowls",neutral
2,received broken plate and bowl,negative
5,all good,very positive
5,"awesomenice prodect ,,",very positive
5,super good product,very positive
5,awesome daily use crockery,very positive
5,good quality dinner set,very positive
5,good quality product and good option for some one gift,very positive
5,product looking very nice  strong quality,very positive
